№,Секунда,Микросекунда
1,51,523199
2,51,546137
3,51,562094
4,51,578052
5,51,593013
6,51,608970
7,51,624926
8,51,639890
9,51,655844
10,51,671803
11,51,687757
12,51,703714
13,51,719673
14,51,735631
15,51,750593
16,51,766547
17,51,782504
18,51,798461
19,51,814419
20,51,830376
21,51,846333
22,51,862290
23,51,878247
24,51,894205
25,51,909165
26,51,925123
27,51,941079
28,51,957037
29,51,972994
30,51,987954
31,52,4047
32,52,20053
33,52,36054
34,52,52064
35,52,68064
36,52,83198
37,52,99254
38,52,115212
39,52,130368
40,52,146479
41,52,161549
42,52,177630
43,52,193719
44,52,208871
45,52,224973
46,52,240543
47,52,256458
48,52,272451
49,52,287693
50,52,302949
51,52,318180
52,52,333485
53,52,348747
54,52,364028
55,52,379182
56,52,394530
57,52,409685
58,52,425641
59,52,441097
60,52,456499
61,52,471823
62,52,487266
63,52,502795
64,52,518038
65,52,533492
66,52,548738
67,52,564583
68,52,580377
69,52,596065
70,52,611486
71,52,626742
72,52,642017
73,52,657507
74,52,673397
75,52,689377
76,52,704477
77,52,720482
78,52,735607
79,52,750400
80,52,766014
81,52,781387
82,52,796890
83,52,812472
84,52,827625
85,52,843347
86,52,858635
87,52,873776
88,52,889946
89,52,905126
90,52,921136
91,52,936292
92,52,952188
93,52,967925
94,52,983466
95,52,998673
96,53,14716
97,53,30368
98,53,45607
99,53,61646
100,53,77550
101,53,92583
102,53,107812
103,53,123078
104,53,138315
105,53,153848
106,53,169369
107,53,184603
108,53,200563
109,53,216567
110,53,231707
111,53,247071
112,53,262201
113,53,277743
114,53,293566
115,53,308801
116,53,324921
117,53,340730
118,53,356170
119,53,372025
120,53,387149
121,53,402937
122,53,418775
123,53,433935
124,53,449399
125,53,465479
126,53,480902
127,53,496258
128,53,511871
129,53,528010
130,53,543061
131,53,558383
132,53,573582
133,53,589500
134,53,604815
135,53,620391
136,53,636161
137,53,652082
138,53,667359
139,53,682691
140,53,698243
141,53,714197
142,53,729443
143,53,745154
144,53,760586
145,53,776040
146,53,791905
147,53,807910
148,53,823577
149,53,838944
150,53,854555
151,53,870273
152,53,885612
153,53,901249
154,53,916492
155,53,931633
156,53,947030
157,53,962765
158,53,978155
159,53,994310
160,54,10319
161,54,25806
162,54,41321
163,54,56700
164,54,72004
165,54,87196
166,54,102757
167,54,118768
168,54,133900
169,54,149175
170,54,165102
171,54,180351
172,54,195789
173,54,211062
174,54,226296
175,54,242125
176,54,257255
177,54,273085
178,54,288340
179,54,303669
180,54,319843
181,54,335220
182,54,351337
183,54,367331
184,54,382788
185,54,398061
186,54,413345
187,54,429240
188,54,445167
189,54,460894
190,54,477078
191,54,492725
192,54,508163
193,54,523372
194,54,538808
195,54,554398
196,54,569904
197,54,585917
198,54,602074
199,54,617252
200,54,633352
201,54,648561
202,54,664245
203,54,680382
204,54,696398
205,54,711881
206,54,727854
207,54,743147
208,54,758747
209,54,774682
210,54,789749
211,54,804962
212,54,820301
213,54,835664
214,54,851376
215,54,866917
216,54,882866
217,54,898129
218,54,913218
219,54,929318
220,54,945415
221,54,960565
222,54,976178
223,54,991894
224,55,7363
225,55,23593
226,55,38933
227,55,54544
228,55,70732
229,55,86093
230,55,101542
231,55,116901
232,55,132269
233,55,147738
234,55,163061
235,55,178215
236,55,193620
237,55,209032
238,55,224484
239,55,239760
240,55,255299
241,55,270702
242,55,286112
243,55,301319
244,55,316787
245,55,332069
246,55,348207
247,55,363669
248,55,379129
249,55,394413
250,55,409600
251,55,424778
252,55,439963
253,55,455883
254,55,471894
255,55,487015
256,55,502447
257,55,517619
258,55,533075
259,55,548876
260,55,564115
261,55,579972
262,55,595642
263,55,611599
264,55,627021
265,55,643186
266,55,659298
267,55,674573
268,55,689943
269,55,705805
270,55,721356
271,55,737075
272,55,752981
273,55,768238
274,55,783366
275,55,799304
276,55,813989
277,55,829616
278,55,844868
279,55,860647
280,55,876258
281,55,892145
282,55,908138
283,55,924147
284,55,939521
285,55,954727
286,55,970219
287,55,985410
288,56,1067
289,56,16282
290,56,31497
291,56,46982
292,56,62397
293,56,77762
294,56,93018
295,56,109302
296,56,124701
297,56,140361
298,56,156080
299,56,171823
300,56,187596
